node,x,y
2408,791.210000,-955.514000
3130,14.976000,686.410000
4741,81.454000,-1094.733000
3389,-950.181000,-871.457000
2845,520.697000,1160.061000
5290,1122.146000,-466.672000
436,-131.190000,895.855000
921,-992.150000,-588.693000
3172,504.555000,-452.884000
2754,-421.805000,1495.842000
1550,439.948000,1119.528000
5406,-1125.432000,85.122000
3290,-4.001000,-1236.768000
2164,614.555000,138.262000
2120,50.718000,774.382000
3433,75.204000,874.910000
3599,1018.341000,945.862000
553,-995.946000,-5.432000
4948,544.049000,614.990000
4949,1360.493000,20.899000
1971,1558.415000,-231.916000
5395,233.539000,-762.086000
3484,27.654000,1039.081000
907,-1175.101000,808.316000
2933,1071.909000,-1164.760000
2025,49.650000,1438.255000
5535,457.916000,183.248000
4622,282.283000,1449.438000
3303,304.689000,382.424000
143,-279.131000,1515.190000
1263,-437.952000,727.317000
2583,-327.884000,1481.195000
3041,-1478.361000,614.183000
2049,-978.930000,1210.484000
2062,940.174000,-787.719000
3370,-531.911000,-1397.218000
5553,-341.608000,-516.927000
1294,-246.846000,-1734.504000
2441,781.275000,-1504.559000
2648,-459.892000,-1319.163000
2179,611.937000,-1623.843000
3821,-1169.780000,995.765000
988,-320.480000,1383.236000
5592,-719.514000,732.220000
1851,179.009000,-1458.922000
1145,1540.721000,107.575000
1718,-1256.527000,-574.600000
4945,570.764000,-15.683000
3955,-291.667000,-471.543000
1468,8.245000,738.354000
3810,70.174000,-585.415000
9,959.843000,-1137.133000
1612,-1130.603000,-758.632000
2368,-990.164000,-1164.205000
5266,-660.693000,-634.482000
1043,-707.443000,-879.617000
5098,503.430000,-1322.823000
3202,-1543.287000,-21.316000
256,1026.939000,-435.504000
5277,-591.538000,606.845000
2211,-842.261000,-2.095000
3454,-290.189000,-1746.232000
2110,-397.051000,1324.720000
742,243.294000,-1440.666000
4232,1527.717000,-66.164000
549,-1571.169000,-206.701000
3348,1535.525000,31.278000
3432,-119.643000,-1100.742000
2494,884.709000,1005.370000
3926,-1123.665000,629.273000
1677,-1168.760000,171.033000
4857,1013.123000,-504.131000
1715,-487.620000,243.819000
2262,562.397000,-399.526000
3238,1338.327000,353.438000
1224,1433.987000,-97.693000
4576,246.557000,960.883000
2854,64.314000,-1015.242000
3828,813.092000,1101.529000
1436,-1534.403000,21.615000
836,966.016000,-507.288000
132,1027.603000,-1015.612000
3500,569.064000,251.088000
3782,-986.282000,174.079000
1500,-1062.828000,-563.156000
1950,800.475000,-1157.788000
1170,957.004000,-1315.889000
4423,-1131.579000,278.480000
5272,-892.603000,-1153.937000
3480,-977.862000,-841.968000
2752,-274.144000,1075.355000
456,742.462000,329.084000
