node1,neighborhood
2408,2408
2408,1995
2408,1652
2408,3576
2408,206
2408,2791
2408,38
2408,3629
2408,2484
2408,861
2408,101
2408,2393
2408,2680
2408,2883
3130,3130
3130,2120
3130,1468
3130,1902
3130,2362
3130,2510
3130,1880
3130,5627
3130,1153
3130,3260
3130,2687
3130,5066
3130,3351
3130,4344
3130,1976
3130,2584
3130,1392
3130,2629
3130,3918
4741,4741
4741,2854
4741,3180
4741,2884
4741,166
4741,3055
4741,3532
4741,4173
4741,5548
4741,3780
4741,690
4741,3915
4741,3618
4741,253
4741,1408
4741,4332
3389,3389
3389,3480
3389,4771
3389,4300
3389,4285
3389,4692
3389,1551
3389,2960
3389,28
3389,1754
3389,208
3389,1301
3389,4864
3389,4684
3389,1519
3389,1115
3389,5124
3389,1664
3389,5631
3389,4767
3389,3438
3389,2400
3389,2087
3389,1282
3389,2668
3389,5526
3389,3161
3389,1383
3389,169
3389,342
3389,3385
3389,3184
3389,5105
3389,1650
3389,1823
3389,2767
3389,1002
3389,1949
3389,273
3389,5489
3389,5570
3389,4533
3389,321
3389,125
3389,5312
3389,1411
3389,5571
3389,3050
3389,2146
3389,3783
3389,5318
3389,4279
3389,3281
3389,3136
3389,4567
3389,5305
3389,1791
3389,3816
3389,3632
3389,2756
2845,2845
2845,1550
2845,4593
2845,3877
2845,1162
2845,958
2845,1531
2845,2703
2845,3647
2845,779
2845,3064
2845,1240
2845,3699
2845,1475
5290,5290
5290,256
5290,591
5290,4433
5290,3923
5290,2671
5290,2806
5290,2093
5290,4098
5290,5230
5290,3827
5290,4226
5290,5243
5290,727
5290,4382
5290,2451
5290,2844
5290,1318
5290,4217
5290,1134
5290,2502
5290,3159
5290,5304
5290,3723
5290,2240
5290,3904
5290,3191
5290,13
5290,2732
5290,3080
5290,3450
436,436
436,2621
436,5208
436,4412
436,4282
436,1047
436,1669
436,2868
436,2651
436,1920
436,5133
436,4210
436,5584
436,2444
436,1723
921,921
921,1500
921,4860
921,1992
921,5575
921,617
921,1096
921,4064
921,4590
921,4308
921,5088
921,4918
921,1761
921,5583
921,5009
921,1429
921,5392
921,1442
921,3583
921,2898
921,4819
921,3621
921,5402
921,198
921,5025
921,689
921,4411
921,5519
921,2867
921,2191
921,4421
921,3188
921,3349
921,2875
921,4588
921,2367
921,1258
921,1114
3172,3172
3172,2262
3172,5037
3172,4482
3172,2266
3172,4980
3172,596
3172,4356
3172,223
3172,2614
3172,4664
3172,2449
3172,4924
3172,4069
3172,60
3172,5442
3172,2047
3172,1238
3172,2665
3172,868
3172,2305
3172,3701
3172,3360
3172,3785
2754,2754
2754,2583
2754,2667
2754,712
2754,692
2754,1393
2754,700
2754,1028
2754,1935
2754,2355
2754,2152
2754,5000
2754,1078
2754,1312
2754,1980
2754,4082
1550,2845
1550,1550
1550,5302
1550,4593
1550,3877
1550,4347
1550,875
1550,4719
1550,1162
1550,2418
1550,1554
1550,1120
1550,779
1550,5550
1550,1240
1550,3699
5406,5406
5406,1677
5406,3732
5406,5147
5406,1848
5406,4435
5406,1486
5406,4366
5406,4713
5406,368
5406,1641
5406,5510
5406,2287
5406,1494
5406,2033
5406,1177
5406,2312
5406,5117
5406,4543
5406,1435
5406,4791
5406,545
5406,3274
3290,3290
3290,2618
3290,2147
3290,2508
3290,5548
3290,3780
3290,5497
3290,1430
3290,3772
3290,3455
3290,4855
3290,5089
3290,2526
2164,2164
2164,5618
2164,2978
2164,5565
2164,877
2164,2497
2164,522
2164,2609
2164,4180
2164,3171
2164,4234
2164,5334
2164,1692
2164,1603
2164,748
2164,4957
2164,632
2164,2525
2164,5308
2164,3052
2164,243
2164,1386
2164,1260
2164,3497
2164,4577
2164,4876
2164,1257
2164,4346
2164,2297
2164,1176
2164,2959
2164,5492
2164,894
2164,1873
2164,4776
2164,2373
2164,4383
2164,3272
2164,1804
2164,1032
2164,3291
2164,2858
2164,2700
2164,2309
2164,1089
2164,74
2120,3130
2120,2120
2120,3433
2120,1468
2120,806
2120,4517
2120,249
2120,1899
2120,5385
2120,1572
2120,2510
2120,1880
2120,1153
2120,2687
2120,1448
2120,4139
2120,3351
2120,2290
2120,4325
2120,1847
2120,3459
2120,5597
2120,1976
2120,1623
2120,1392
2120,2629
2120,3086
3433,2120
3433,3433
3433,4517
3433,249
3433,1899
3433,3142
3433,5385
3433,2230
3433,720
3433,3332
3433,4139
3433,4649
3433,471
3433,4029
3433,1863
3433,2838
3433,2290
3433,4325
3433,3682
3433,1847
3433,3459
3433,5596
3433,5597
3433,1623
3433,5584
3433,4749
3433,2840
3433,3086
3433,1439
3599,3599
3599,2908
3599,2964
3599,1088
3599,641
3599,1501
3599,4039
3599,1108
3599,5080
3599,54
3599,1597
3599,1476
3599,504
3599,3871
3599,5202
3599,744
3599,5197
3599,1407
3599,4976
3599,5547
3599,2116
3599,2136
553,553
553,1073
553,4105
553,1641
553,4304
553,1177
553,1427
553,4261
553,978
4948,4948
4948,379
4948,3586
4948,410
4948,389
4948,4599
4948,235
4948,457
4948,893
4948,2698
4949,4949
4949,2016
4949,2275
4949,5320
4949,1157
4949,587
4949,5231
4949,2567
4949,2082
4949,3919
4949,3643
4949,155
4949,2057
4949,2472
4949,3673
4949,398
4949,3581
4949,1738
4949,5166
4949,2780
1971,1971
1971,1921
1971,1395
1971,5540
1971,452
1971,3294
1971,4476
1971,1826
1971,2804
1971,4536
1971,1255
1971,771
1971,5216
1971,3790
1971,3441
1971,2822
1971,56
1971,4290
1971,3778
1971,4167
1971,79
1971,4531
1971,1539
1971,3148
5395,5395
5395,881
5395,2768
5395,3421
5395,835
5395,3091
5395,303
5395,973
5395,4080
5395,4339
3484,3484
3484,3591
3484,4900
3484,2230
3484,720
3484,1287
3484,4334
3484,471
3484,4092
3484,1920
3484,1863
3484,4891
3484,5101
3484,103
3484,2009
3484,360
907,907
907,112
907,518
907,1693
907,4834
907,1198
907,3614
907,2916
907,5252
907,3301
907,3999
907,3659
907,1316
907,2065
907,2857
907,4241
907,5257
907,2397
907,3916
907,1103
907,705
907,5534
2933,2933
2933,1516
2933,3622
2933,215
2933,3553
2933,5008
2933,3512
2933,4073
2933,3691
2933,5018
2933,1904
2933,5072
2933,609
2933,739
2933,2359
2933,4059
2933,3088
2933,2383
2933,3986
2933,4390
2933,5411
2933,2724
2933,500
2933,2947
2933,19
