node,x,y
685,1408.826782,115.948700
5265,-62.454849,1417.855469
3750,1341.322510,-969.462708
2400,-375.638550,-1075.629028
2216,-1270.656250,-92.789818
5989,-518.574585,1379.993530
3592,1157.581665,-189.063354
1274,-634.171936,588.417847
1336,-142.194377,-239.732138
3300,-136.417740,-513.065186
4133,-73.208661,152.243434
5252,-167.432007,276.039429
5743,-641.988470,-864.201294
3951,1142.586548,-643.895569
4899,-1387.530029,-223.871384
1517,-294.190735,-1190.145630
1739,-67.069855,-1223.696533
2675,91.657761,69.060349
1682,533.483011,138.107544
2759,568.105113,168.308478
6147,-1408.069824,-994.610474
2158,-1584.712891,444.317474
4598,-943.373779,-1016.324829
5466,-311.546598,1023.989719
852,-665.159119,83.580696
6017,-729.088501,511.592346
6218,-338.032837,715.790405
2286,-471.228546,-838.851807
1058,-557.623413,-905.091492
535,-503.240967,-714.423828
5687,-974.215942,-595.652588
2269,-590.978821,-915.458191
2578,-569.938782,-885.690857
2717,-672.243408,-866.638611
2857,-603.580872,-896.487976
4921,-635.750671,-947.907715
1611,-575.133789,-801.749207
1918,-639.634094,-845.667725
1396,-665.621948,-795.362549
5072,-634.382507,-920.439392
434,-615.880127,-943.966370
3674,-522.287537,-730.784241
966,-571.230957,-845.039490
3805,-688.857117,-831.308655
891,-499.148376,-748.648865
4409,-457.387604,-764.983948
6130,-362.298859,1213.222290
5495,790.477234,-1213.323364
5163,1133.847656,600.215515
1105,-16.406487,1267.747559
6184,-791.489685,1353.923462
6211,1527.717285,-66.163567
1896,-158.305130,1510.767578
4216,-734.556946,1357.855713
2087,-388.345673,-1227.494019
1576,-1478.872314,-496.057800
3000,964.216431,-83.372849
556,-909.419556,-1439.676880
5619,1210.874268,-768.225647
124,-553.872009,442.489410
4493,-339.480225,1037.366577
3242,232.484558,1294.195435
105,-360.910431,1362.906494
1626,-154.535294,19.627048
199,1118.752930,-1243.480713
3896,63.349663,-1370.292969
2848,-1096.986428,-321.664151
284,-1231.976196,363.266815
2199,1133.847656,600.215515
4221,1122.134644,-541.974731
3119,1068.881958,-503.349670
6185,1134.951416,-481.880157
4222,-56.914856,76.064878
59,-882.002014,152.392960
5310,1002.678711,-694.101868
2921,-1611.143433,245.362701
4026,1496.705200,-695.816528
2416,611.346497,1303.243652
1321,1514.576294,263.829895
430,959.870949,-482.645247
4709,1515.502808,-525.312378
2349,984.733093,-1392.013184
1257,-116.650153,-467.926610
4250,-1718.712158,219.264771
4615,-2.129539,1190.299561
3452,56.974913,768.333797
501,990.156616,1022.184448
5733,1129.612427,-1159.945679
5057,1057.923807,-617.470185
538,270.389877,64.708539
3910,620.983521,962.514038
4688,241.796595,-228.208797
3073,-152.298288,140.001129
323,350.802795,-1018.995972
1334,546.707764,-1055.279541
2699,-458.076721,-1063.752563
1328,1200.811768,6.916668
4634,1014.725485,-548.731793
517,829.573303,-1488.285889
1385,1193.983643,868.987793
4604,-875.974243,-1357.244873
630,-686.567017,-1361.736694
975,-1702.047119,-387.951172
1923,-1007.218506,-1257.205811
5233,-177.953598,-601.372253
2876,-37.362235,-134.186451
2889,143.339676,-871.819519
5584,469.967540,132.842924
3706,-717.802979,-1214.469116
958,6.394479,136.802350
1984,154.238861,997.509888
4028,1344.397217,-721.828430
838,1518.821411,21.447102
1898,168.747864,-1337.664062
2930,-491.512329,-1284.866699
3,869.177612,-1234.767456
