source,target,weight
1,59,0.20937
1,359,0.20434
1,1000,0.22683
1,1023,0.25694
1,1183,0.25466
1,1212,0.21406
1,1329,0.21311
1,1519,0.24424
1,1842,0.2118
1,1907,0.26231
1,2077,0.20647
1,2198,0.21149
1,2516,0.27619
1,2656,0.22223
1,2742,0.26662
1,2784,0.2261
1,2880,0.22527
1,2962,0.37211
1,3039,0.26718
1,3045,0.2244
1,3055,0.26633
1,3326,0.23665
1,3712,0.2137
1,3836,0.22505
1,3981,0.24142
1,4090,0.20957
1,4577,0.27023
1,4787,0.21477
1,4816,0.20819
1,4837,0.25209
1,5392,0.21871
1,5447,0.21093
1,5489,0.33245
1,5689,0.23459
1,5734,0.24369
1,5788,0.2342
2,88,0.20653
2,3598,0.20717
2,5140,0.2031
4,601,0.33595
4,1087,0.22137
4,3192,0.20586
4,3364,0.28371
4,3528,0.41502
4,4268,0.38592
4,5486,0.20927
6,646,0.20407
6,1098,0.20243
6,1144,0.21601
6,2225,0.20296
6,2507,0.21393
6,2647,0.20488
6,3933,0.22884
6,4061,0.39292
6,4343,0.26525
6,4807,0.20099
6,5190,0.29638
6,5215,0.20844
7,293,0.24957
7,2518,0.20158
7,2931,0.27407
7,3861,0.2998
7,4336,0.27407
7,4556,0.36256
7,4753,0.29452
7,4948,0.21997
7,5277,0.28296
7,5300,0.34373
8,1954,0.20876
9,428,0.21164
9,621,0.21765
9,1226,0.20264
9,1248,0.21579
9,1800,0.30708
9,2144,0.21265
9,3135,0.47167
9,3392,0.25494
9,3657,0.33167
9,3965,0.23879
9,4029,0.20776
9,4544,0.43899
9,4580,0.42419
9,5032,0.20312
9,5070,0.24731
9,5561,0.28054
9,5662,0.34724
9,5919,0.22725
9,5939,0.20056
9,6174,0.20453
10,105,0.22318
10,289,0.38104
10,481,0.3111
10,638,0.31266
10,733,0.21224
10,2135,0.27672
10,2439,0.20128
10,2831,0.27262
10,2869,0.35219
10,3077,0.34694
10,3541,0.44197
10,3736,0.27315
10,4256,0.32906
10,4534,0.22324
10,4731,0.2435
10,5059,0.29396
10,5252,0.22915
10,5935,0.25492
10,5947,0.4194
10,6027,0.36876
11,2112,0.20496
11,5841,0.36808
12,194,0.23328
12,463,0.27034
12,1142,0.42151
12,1497,0.32682
12,1570,0.29316
12,1582,0.28765
12,1597,0.2175
12,1880,0.31313
12,2079,0.24687
12,2645,0.35219
12,2792,0.27028
12,2972,0.21386
12,3548,0.24258
12,3582,0.26213
12,3980,0.20794
12,4386,0.23055
12,4473,0.21028
12,4514,0.26019
12,4766,0.2511
12,4810,0.24282
12,4828,0.22273
12,4850,0.36001
12,4886,0.35219
12,4949,0.25874
12,4992,0.32343
12,5021,0.29634
12,5057,0.26823
12,5067,0.28054
12,5198,0.23088
12,5244,0.21948
12,5310,0.27548
12,5311,0.21926
12,5365,0.31772
12,5596,0.23672
12,5709,0.27302
12,5792,0.37669
12,5910,0.22081
12,5982,0.28104
12,6117,0.21354
12,6227,0.34605
13,681,0.22464
13,1102,0.20833
13,2336,0.2058
13,3447,0.20454
14,4623,0.20762
15,5088,0.22403
15,5419,0.54069
15,5799,0.21919
16,673,0.28514
16,1095,0.27453
16,1490,0.28584
16,1752,0.44208
16,2439,0.21778
16,3008,0.40709
16,4307,0.21093
16,4707,0.29335
16,5097,0.21812
16,5100,0.28983
16,5357,0.26213
16,6054,0.22725
17,215,0.20201
17,435,0.24429
17,500,0.21152
17,890,0.36045
17,905,0.24683
17,1685,0.31131
17,1837,0.20585
17,2100,0.23237
17,2170,0.42151
17,2450,0.23144
17,2545,0.22326
17,3013,0.20082
17,3022,0.26486
17,3761,0.29244
17,4631,0.22611
17,4727,0.29372
17,5171,0.21068
17,5267,0.20753
17,5766,0.25275
18,375,0.20227
18,491,0.2573
18,791,0.24141
18,1179,0.20201
18,2448,0.3044
18,3730,0.2001
18,3883,0.27193
18,4920,0.28065
18,5291,0.56059
18,5326,0.20158
18,5543,0.42514
18,5967,0.45644
19,2126,0.24616
19,3202,0.26704
19,4123,0.22048
19,5644,0.30194
19,5653,0.37949
19,6093,0.34842
19,6141,0.35575
21,350,0.33828
21,673,0.35219
21,1414,0.23466
21,1911,0.28385
21,2432,0.34012
21,2785,0.25864
21,2854,0.29452
21,4707,0.37258
21,4773,0.20706
21,6054,0.26019
22,47,0.27611
22,135,0.29181
22,351,0.394
22,471,0.23144
22,756,0.24431
22,910,0.49019
22,1408,0.29611
22,1411,0.20624
22,1627,0.22313
22,1735,0.28748
22,1946,0.29452
22,2497,0.26786
22,2532,0.37094
22,2612,0.40781
22,3066,0.2466
22,3381,0.24322
22,3738,0.25099
22,4396,0.23954
22,4581,0.34929
22,4687,0.28783
22,4936,0.21101
22,5022,0.31792
22,5235,0.31603
