node1,neighborhood
685,685
685,4499
685,23
685,3897
685,982
685,5015
685,3954
685,4953
685,2014
685,4474
685,690
685,1209
685,2321
685,5599
685,3007
685,3725
685,4778
685,3499
685,1453
685,3377
685,4619
685,123
685,5006
5265,5265
5265,5553
5265,1390
5265,2312
5265,2397
5265,1024
5265,4757
5265,5664
5265,290
5265,4147
5265,4695
5265,3443
5265,3942
5265,4179
3750,3750
3750,5563
3750,3125
3750,444
3750,1505
3750,4469
3750,1130
3750,513
3750,5404
3750,2669
3750,255
3750,5021
3750,5613
3750,2209
3750,560
3750,5713
3750,1887
3750,3697
3750,4138
3750,1594
3750,5515
3750,6228
3750,4765
3750,3822
2400,2400
2400,2699
2400,3990
2400,5481
2400,1920
2400,3213
2400,1960
2400,3455
2400,2316
2400,3461
2400,316
2400,4503
2400,4441
2400,729
2400,5440
2400,1101
2216,2216
2216,48
2216,4675
2216,2651
2216,2569
2216,3353
2216,2744
2216,3891
2216,5533
2216,4717
2216,326
2216,754
2216,1981
2216,2805
2216,1755
5989,5989
5989,3520
5989,1814
5989,5142
5989,5656
5989,3614
5989,2131
5989,5053
5989,4872
5989,5835
5989,6154
5989,2732
5989,2238
5989,3329
5989,611
5989,1556
5989,6145
5989,502
5989,3887
5989,2509
3592,3592
3592,3292
3592,6178
3592,4214
3592,3562
3592,1668
3592,4502
3592,2964
3592,1598
3592,5210
3592,3304
3592,1951
3592,5230
1274,1274
1274,3839
1274,3470
1274,3420
1274,2114
1274,4271
1274,4975
1274,178
1274,4571
1274,5884
1274,3701
1274,2100
1274,3476
1274,3925
1274,3178
1274,3155
1274,4208
1274,2902
1274,4643
1274,4353
1274,5358
1274,1884
1274,5532
1274,4568
1274,4969
1274,2147
1274,288
1274,4940
1274,3114
1274,2333
1274,5009
1274,2545
1274,905
1274,4453
1274,3986
1274,3177
1274,5241
1274,2288
1274,5160
1274,2632
1274,4631
1274,3223
1274,3542
1274,17
1274,2918
1274,5944
1274,569
1274,3475
1274,5073
1274,2765
1336,1336
1336,6091
1336,4876
1336,5416
1336,1346
1336,4488
1336,2966
1336,3866
1336,4129
1336,2755
1336,5932
1336,4411
1336,5153
1336,3349
1336,1192
1336,2222
1336,266
1336,2431
1336,3257
1336,3282
1336,3235
1336,4700
1336,1945
1336,35
1336,3938
1336,2153
1336,2189
1336,1048
1336,4016
1336,4132
1336,5217
1336,4455
1336,1516
3300,3300
3300,1257
3300,5233
3300,1712
3300,701
3300,4739
3300,4885
3300,3359
3300,4852
3300,3521
3300,2361
3300,3318
3300,2038
3300,1503
3300,1403
3300,110
3300,1033
3300,3101
3300,4869
3300,648
3300,4465
4133,4133
4133,4222
4133,3073
4133,958
4133,3560
4133,2794
4133,61
4133,472
4133,4400
4133,2500
4133,1527
4133,3609
4133,1290
4133,5059
4133,2905
4133,3134
4133,4999
4133,5755
4133,5027
5252,5252
5252,1652
5252,2794
5252,5284
5252,3796
5252,3075
5252,2500
5252,1311
5252,3609
5252,6088
5252,5275
5252,3259
5252,4286
5252,5592
5743,5743
5743,1058
5743,2269
5743,2578
5743,2717
5743,2857
5743,4921
5743,1611
5743,1918
5743,1396
5743,5072
5743,434
5743,966
5743,3805
5743,1147
5743,4929
5743,4686
5743,1634
5743,4858
5743,4667
5743,2954
5743,4838
5743,5436
5743,5415
5743,5793
5743,580
5743,2039
5743,1977
5743,1844
5743,4061
5743,3030
5743,2796
5743,1530
5743,56
5743,2447
5743,1421
5743,5417
5743,633
5743,4624
5743,2984
5743,1831
5743,3171
5743,1388
5743,1087
5743,2953
3951,3951
3951,4221
3951,5057
3951,3633
3951,4903
3951,164
3951,1847
3951,4696
3951,818
3951,829
3951,209
3951,2935
3951,4459
3951,1697
3951,75
3951,5798
3951,1451
3951,6188
3951,5863
3951,2645
3951,5366
3951,4689
3951,5518
3951,1158
3951,1293
3951,1649
3951,6117
3951,2812
3951,5885
3951,2997
3951,2044
3951,5945
3951,1880
3951,5356
3951,3590
3951,5941
3951,1202
3951,2820
3951,861
3951,226
4899,4899
4899,1636
4899,1185
4899,2069
4899,4351
4899,3462
4899,1596
4899,754
4899,307
4899,5141
4899,2586
4899,531
4899,3438
4899,4008
4899,1755
1517,1517
1517,2087
1517,1005
1517,5481
1517,3922
1517,4482
1517,4933
1517,270
1517,4782
1517,527
1517,2081
1517,2341
1517,757
1517,4441
1517,5033
1517,3815
1739,1739
1739,1995
1739,3865
1739,4402
1739,2190
1739,31
1739,516
1739,3354
1739,269
1739,5535
1739,5016
1739,2164
1739,6187
1739,546
1739,6222
1739,5692
1739,1228
1739,5247
1739,5640
1739,291
1739,1413
1739,4756
1739,6119
1739,815
1739,5715
2675,2675
2675,5543
2675,2096
2675,4610
2675,5954
2675,5300
2675,5059
2675,1416
2675,1170
2675,4396
2675,2277
1682,1682
1682,2759
1682,5584
1682,4836
1682,5090
1682,4725
1682,837
1682,6064
1682,4022
1682,3643
1682,6209
1682,3818
1682,2677
1682,1560
1682,4609
1682,4226
1682,3710
1682,6092
1682,2453
1682,1890
1682,2319
1682,549
1682,2010
1682,1061
1682,2839
1682,3064
1682,3412
1682,6094
1682,2444
1682,156
1682,1059
1682,2488
1682,2790
1682,3472
1682,3579
1682,2748
1682,5381
1682,1350
1682,1905
1682,4352
1682,2993
1682,2903
1682,1028
1682,5995
1682,6040
1682,5930
1682,3245
1682,3854
1682,4722
1682,3821
1682,2258
1682,2573
1682,3550
1682,1150
1682,4907
1682,3252
1682,2629
1682,459
1682,510
1682,5557
1682,1241
1682,1692
1682,4521
1682,1522
1682,842
1682,2906
1682,2641
1682,4566
1682,4842
1682,4894
1682,39
1682,4520
2759,1682
2759,2759
2759,5584
2759,4836
2759,5090
2759,4725
2759,837
2759,1897
2759,6064
2759,4022
2759,3643
2759,6209
2759,3818
2759,2677
2759,1560
2759,4609
2759,4226
2759,4971
2759,6092
2759,2453
2759,1890
2759,2319
2759,549
2759,926
2759,1061
2759,2839
2759,3064
2759,2444
2759,156
2759,1059
2759,2488
2759,2790
2759,3472
2759,3579
2759,1350
2759,1905
2759,4352
2759,2993
2759,2903
2759,5995
2759,1333
2759,3848
2759,6040
2759,149
2759,847
2759,5930
2759,3245
2759,3854
2759,3821
2759,2258
2759,2573
2759,3550
2759,1150
2759,4907
2759,3252
2759,2629
2759,459
2759,510
2759,5557
2759,1241
2759,1522
2759,4566
2759,1248
2759,39
2759,4520
6147,6147
6147,4338
6147,3266
6147,2068
6147,1608
6147,4652
6147,1992
6147,3708
6147,6034
6147,1541
6147,4516
6147,2366
2158,2158
2158,3398
2158,2057
2158,2111
2158,1754
2158,2249
2158,1936
2158,3698
2158,303
2158,6180
2158,1563
2158,4225
2158,3296
2158,5586
2158,3431
2158,5470
2158,3769
2158,3539
4598,4598
4598,4774
4598,5040
4598,4984
4598,1599
4598,1492
4598,5763
4598,176
4598,5530
4598,95
4598,5484
4598,1768
4598,635
4598,4807
4598,4257
4598,691
4598,5318
4598,3616
4598,1456
4598,277
4598,4397
4598,1774
4598,86
4598,1117
4598,666
4598,1216
4598,2225
4598,1732
4598,334
4598,3956
4598,2160
4598,4991
4598,3084
4598,4011
4598,4285
4598,2559
4598,884
4598,6078
4598,5630
5466,5466
5466,4493
5466,79
5466,4389
5466,4143
5466,5268
5466,4930
5466,665
5466,3843
5466,3006
5466,1224
5466,5364
5466,4074
5466,4056
5466,3572
5466,6144
852,852
852,658
852,3165
852,1019
852,3371
852,1875
852,1566
852,2985
852,92
852,2784
852,2580
852,6068
852,4494
852,1967
852,4153
852,441
852,4384
852,1762
852,1218
6017,6017
6017,3839
6017,4571
6017,4498
6017,3984
6017,3224
6017,3476
6017,2738
6017,4642
6017,4208
6017,2902
6017,4643
6017,5358
6017,5455
6017,3825
6017,2147
6017,1642
6017,5044
6017,1867
6017,1711
6017,5875
6017,2859
6017,198
6017,3631
6017,3702
6017,5362
6017,2765
6218,6218
6218,5004
6218,2665
6218,4803
6218,5766
6218,4622
6218,5937
6218,621
6218,2263
6218,187
6218,3022
6218,5280
2286,2286
2286,966
2286,891
2286,4409
2286,2552
2286,6057
2286,3046
2286,5962
2286,2954
2286,6081
2286,5793
2286,1278
2286,258
2286,4539
2286,1113
